chapter	number	japanese	english	path
CH06	6.4.2	変更管理	Change Management	tex/swebok_structure/CH06.ソフトウェアエンジニアリング運用(Software_Engineering_Operations)/6.4.ソフトウェアエンジニアリング運用制御(Software_Engineering_Operations_Control)/6.4.2.変更管理(Change_Management)
CH06	6.4.3	監視・測定・追跡・レビュー	Monitor Measure Track and Review	tex/swebok_structure/CH06.ソフトウェアエンジニアリング運用(Software_Engineering_Operations)/6.4.ソフトウェアエンジニアリング運用制御(Software_Engineering_Operations_Control)/6.4.3.監視・測定・追跡・レビュー(Monitor_Measure_Track_and_Review)
CH06	6.4.4	運用支援	Operations Support	tex/swebok_structure/CH06.ソフトウェアエンジニアリング運用(Software_Engineering_Operations)/6.4.ソフトウェアエンジニアリング運用制御(Software_Engineering_Operations_Control)/6.4.4.運用支援(Operations_Support)
CH06	6.4.5	サービス報告	Service Reporting	tex/swebok_structure/CH06.ソフトウェアエンジニアリング運用(Software_Engineering_Operations)/6.4.ソフトウェアエンジニアリング運用制御(Software_Engineering_Operations_Control)/6.4.5.サービス報告(Service_Reporting)
CH06	6.5	実務上の考慮	Practical Considerations	tex/swebok_structure/CH06.ソフトウェアエンジニアリング運用(Software_Engineering_Operations)/6.5.実務上の考慮(Practical_Considerations)
CH06	6.5.1	インシデントと問題の予防	Incident and Problem Prevention	tex/swebok_structure/CH06.ソフトウェアエンジニアリング運用(Software_Engineering_Operations)/6.5.実務上の考慮(Practical_Considerations)/6.5.1.インシデントと問題の予防(Incident_and_Problem_Prevention)
CH06	6.5.2	運用リスク管理	Operational Risk Management	tex/swebok_structure/CH06.ソフトウェアエンジニアリング運用(Software_Engineering_Operations)/6.5.実務上の考慮(Practical_Considerations)/6.5.2.運用リスク管理(Operational_Risk_Management)
CH06	6.5.3	ソフトウェアエンジニアリング運用の自動化	Automating Software Engineering Operations	tex/swebok_structure/CH06.ソフトウェアエンジニアリング運用(Software_Engineering_Operations)/6.5.実務上の考慮(Practical_Considerations)/6.5.3.ソフトウェアエンジニアリング運用の自動化(Automating_Software_Engineering_Operations)
CH06	6.5.4	小規模組織におけるソフトウェアエンジニアリング運用	Software Engineering Operations for Small Organizations	tex/swebok_structure/CH06.ソフトウェアエンジニアリング運用(Software_Engineering_Operations)/6.5.実務上の考慮(Practical_Considerations)/6.5.4.小規模組織におけるソフトウェアエンジニアリング運用(Software_Engineering_Operations_for_Small_Organizations)
CH06	6.6	ソフトウェアエンジニアリング運用ツール	Software Engineering Operations Tools	tex/swebok_structure/CH06.ソフトウェアエンジニアリング運用(Software_Engineering_Operations)/6.6.ソフトウェアエンジニアリング運用ツール(Software_Engineering_Operations_Tools)
CH06	6.6.1	コンテナと仮想化	Containers and Virtualization	tex/swebok_structure/CH06.ソフトウェアエンジニアリング運用(Software_Engineering_Operations)/6.6.ソフトウェアエンジニアリング運用ツール(Software_Engineering_Operations_Tools)/6.6.1.コンテナと仮想化(Containers_and_Virtualization)
CH06	6.6.2	配備	Deployment	tex/swebok_structure/CH06.ソフトウェアエンジニアリング運用(Software_Engineering_Operations)/6.6.ソフトウェアエンジニアリング運用ツール(Software_Engineering_Operations_Tools)/6.6.2.配備(Deployment)
CH06	6.6.3	自動テスト	Automated Test	tex/swebok_structure/CH06.ソフトウェアエンジニアリング運用(Software_Engineering_Operations)/6.6.ソフトウェアエンジニアリング運用ツール(Software_Engineering_Operations_Tools)/6.6.3.自動テスト(Automated_Test)
CH06	6.6.4	監視とテレメトリ	Monitoring and Telemetry	tex/swebok_structure/CH06.ソフトウェアエンジニアリング運用(Software_Engineering_Operations)/6.6.ソフトウェアエンジニアリング運用ツール(Software_Engineering_Operations_Tools)/6.6.4.監視とテレメトリ(Monitoring_and_Telemetry)
CH06	6.7	トピックと参考文献の対応	Matrix of Topics vs Reference Material	tex/swebok_structure/CH06.ソフトウェアエンジニアリング運用(Software_Engineering_Operations)/6.7.トピックと参考文献の対応(Matrix_of_Topics_vs_Reference_Material)
CH06	6.8	参考文献	References	tex/swebok_structure/CH06.ソフトウェアエンジニアリング運用(Software_Engineering_Operations)/6.8.参考文献(References)
